Topic_Num,Topic_Perc_Contrib,Keywords,Representative Text
0.0,0.6891000270843506,"pregnancy, pregnant_women, published, maternal, neonatal, newborns, predicted, vertical, zikv, concerns","['maternal', 'serum_concentrations', 'chemokine', 'cxcl10_ip_10', 'elevated', 'acute_pyelonephritis', 'pregnancy']"
1.0,0.06669999659061432,"receptor, similarity, propensities, cross_species, zoonoses, prediction, posttravel, 2321, workup, lifetime","['influenzapandemieplanung', 'eine', 'herausforderung', 'für', 'die', 'arbeitsmedizin', 'den', 'öffentlichen', 'gesundheitsdienst', 'und', 'unternehmen']"
2.0,0.8133000135421753,"influenza, number, effective, impact, individuals, 10, exposure, quarantine, possible, individual","['serial_intervals', 'seasonal', 'pandemic', 'influenza', 'households', 'bangkok', 'thailand']"
3.0,0.9326000213623047,"sars, risk, cases, study, hospital, care, population, syndrome, associated, methods","['emerging', 'like', 'severe_acute_respiratory', 'syndrome', 'sars', 'strikes', 'suddenly', 'wonder', 'publics', 'overwhelming', 'fears', 'sars', 'deterred', 'patients', 'seeking', 'routine', 'care', 'hospitals', 'interrupt', 'patients', 'continuity', 'care', 'study', 'sought', 'estimate', 'influence', 'pregnant', 'womens', 'fears', 'severe_acute_respiratory', 'syndrome', 'sars', 'choice', 'provider', 'mode', 'childbirth', 'length', 'stay_los', 'delivery', 'sars', 'epidemic', 'taiwan', 'methods', 'national', 'insurance', 'data', 'january', '01', '2002', 'december_31', '2003', 'used', 'population', 'based', 'descriptive', 'analysis', 'conducted', 'assess', 'changes', 'volume', 'market', 'share', 'cesarean', 'rate', 'average', 'los', 'provider', 'levels', 'sars', 'epidemic', 'compared', 'pre', 'sars', 'period', 'medical', 'centers', 'regional', 'hospitals', 'dropped', '52', '41', 'market', 'share', 'childbirth_services', 'peak', 'sars', 'period', 'district', 'hospitals', 'clinics', 'increased', '21', '71', 'respectively', 'changes', 'cesarean', 'rates', 'significantly', 'larger', 'increase', 'observed', 'medical', 'centers', '22', 'peak', 'sars', 'period', 'terms', 'los', 'significant', 'reductions', 'average', 'los', 'observed', 'hospital', 'levels', 'except', 'clinics', 'average', 'los', 'shortened', '021', 'days', 'medical', 'centers', '56', '021', 'days', 'regional', 'hospitals', '58', '013', 'days', 'district', 'hospitals', '38', 'large', 'amount', 'patients', 'shifting', 'maternity', 'wards', 'advanced_hospitals', 'less', 'advanced_hospitals', 'coupled', 'substantial', 'reduction', 'length', 'maternity', 'stay', 'due', 'fears', 'sars', 'lead', 'serious', 'concerns', 'quality', 'care', 'especially', 'regarding', 'patients', 'accessibility', 'quality', 'providers', 'continuity', 'care']"
4.0,0.8443999886512756,"transmission, factors, outbreaks, isolation, risk, environmental, higher, identified, contact, global","['airborne', 'biological', 'hazards', 'urban', 'transport_infrastructure', 'current', 'challenges', 'future_directions']"
6.0,0.766700029373169,"mers_cov, time, using, prevention, illness, included, strategies, estimated, effects, middle_east_respiratory","['common_cold', 'potential', 'future', 'prevention', 'cure']"
8.0,0.5333999991416931,"management, appropriate, finally, guidelines, iii_c, unit, labour, personnel, mothers, bioterrorism","['management', 'kawasaki']"
10.0,0.766700029373169,"infections, human, public, diseases, pathogens, new, specific, hong_kong, surveillance, research","['zoonoses', 'emergence', 'human', 'diseases']"
11.0,0.766700029373169,"respiratory, group, 95_ci, acute, age, children, year, groups, single, factor","['risk', 'urinary_tract', 'infants', 'children', 'acute_bronchiolitis']"
12.0,0.8133000135421753,"patients, abstract, 19, covid, clinical, years, symptoms, severity, asthma, pneumonia","['covid', '19', 'update', 'march', '2020']"
14.0,0.8083999752998352,"control, outbreak, epidemic, spread, model, measures, different, including, data, important","['mathematical_models', 'become', 'invaluable', 'management', 'tools', 'epidemiologists', 'shedding', 'light', 'mechanisms', 'underlying', 'observed', 'dynamics', 'well', 'making', 'quantitative', 'predictions', 'effectiveness', 'different', 'control', 'measures', 'explain', 'substantial', 'biases', 'introduced', 'two', 'important', 'yet', 'largely', 'ignored', 'assumptions', 'core', 'vast', 'majority', 'models', 'methods', 'findings', 'first', 'analytical', 'methods', 'show', 'ignoring', 'latent_period', 'ii', 'making', 'common', 'assumption', 'exponentially', 'distributed', 'latent', 'periods', 'including', 'latent_period', 'always', 'underestimating', 'basic_reproductive', 'ratio', 'outbreak', 'data', 'proceed', 'illustrate', 'points', 'fitting', 'epidemic', 'models', 'data', 'influenza', 'outbreak', 'finally', 'document', 'unrealistic', 'priori', 'assumptions', 'concerning', 'model', 'structure', 'give', 'rise', 'systematically', 'overoptimistic', 'predictions', 'outcome', 'potential', 'management', 'options', 'work', 'aims', 'highlight', 'developing', 'models', 'public', 'pay', 'careful', 'attention', 'intrinsic', 'assumptions', 'embedded', 'within', 'classical', 'frameworks']"
